Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Chuck Lenzie Generating Station,Natural Gas Combined Cycle,Operating,NV,36.3853,-114.9228,Nevada Power Company,Nevada Power Company,1465.6,NA,192.3,161,Excellent,
C R Wing Cogeneration Plant,Natural Gas Combined Cycle,Operating,TX,32.2722,-101.4222,Multi-Owned,Power Resources Ltd,230,NA,0,0,Not Considered,No extra turbine space
Campbell Soup Cogeneration,Natural Gas Combined Cycle,Operating,CA,38.511068,-121.471796,Sacramento Municipal Utility District,Sacramento Municipal Utility District,173.9,NA,0,0,Not Considered,Low Land
Clark (NV),Natural Gas Combined Cycle,Operating,NV,36.0875,-115.0507,Nevada Power Company,Nevada Power Company,578.8,NA,11.8,10.9,Good,
Cardinal Cogen,Natural Gas Combined Cycle,Operating,CA,37.4296,-122.1759,General Electric Structured Finance,Cardinal Cogen,52.8,NA,0,0,Not Considered,No extra turbine space
Carson Cogeneration,Natural Gas Combined Cycle,Operating,CA,33.8759,-118.2491,Multi-Owned,GE Energy,55.8,NA,0,0,Not Considered,No extra turbine space
Carson Ice Cogen,Natural Gas Combined Cycle,Operating,CA,38.4461,-121.4614,Sacramento Municipal Utility District,Sacramento Municipal Utility District,71.5,NA,0,0,Not Considered,No extra turbine space
Chino,Natural Gas Combined Cycle,Operating,CA,33.9961,-117.6726,Multi-Owned,OLS Energy,30.8,NA,0,0,Not Considered,No extra turbine space
Chino Mines Company,Natural Gas Combined Cycle,Operating,NM,32.6956,-108.1225,Freeport-McMoRan Corporation,Freeport-McMoRan Corporation,54,NA,0,0,Not Considered,No extra turbine space
Wolf Hollow,Natural Gas Combined Cycle,Operating,TX,32.3347,-97.7344,Stark Investments,"Wolf Hollow I, L.P.",809.6,NA,15.1,14.1,Fair,
Colusa CC,Natural Gas Combined Cycle,Under Construction,CA,39.1019,-122.1113,Pacific Gas and Electric Company,Pacific Gas and Electric Company,0,666,88.7,74,Good,
Cosumnes Power Plant,Natural Gas Combined Cycle,Operating,CA,38.3461,-121.1217,Sacramento Municipal Utility District,Sacramento Municipal Utility District,530,NA,20,18.4,Good,
Currant Creek,Natural Gas Combined Cycle,Operating,UT,39.8223,-111.894,PacifiCorp,PacifiCorp,566.9,NA,70.3,58.5,Good,
Desert Basin Generating,Natural Gas Combined Cycle,Operating,AZ,32.9042,-111.7889,Salt River Project,Salt River Project Agricultural Improvement & Power District,646.1,NA,82.8,70,Excellent,
Cool Water,Natural Gas Combined Cycle,Operating,CA,34.8622,-116.854,"RRI Energy Power Generation, Inc.","RRI Energy Coolwater, Inc.",580,NA,0,0,Not Considered,Plant Too Old
Crosscut,Natural Gas Combined Cycle,Operating,AZ,33.44,-111.9442,Salt River Project,Salt River Project,30,NA,0,0,Not Considered,Plant Too Old
Delta Energy Center,Natural Gas Combined Cycle,Operating,CA,38.0167,-121.8439,"Calpine Generating Company, LLC",Delta Energy Center LLC,943.5,NA,0,0,Not Considered,Low Land
Elk Hills Power,Natural Gas Combined Cycle,Operating,CA,35.2803,-119.311,"NRG Energy, Inc.","Elk Hills Power, LLC",623,NA,25.9,23.7,Good,
Cogeneration 1,Natural Gas Combined Cycle,Operating,AZ,32.105,-111.7931,University of Arizona,University of Arizona,9,NA,0,0,Not Considered,Need more info an extra turbine capacity
Continental Cogeneration,Natural Gas Combined Cycle,Planned,CA,37.1124,-120.9421,Continental Cogeneration Services,PurEnergy L.L.C.,0,275,0,0,Not Considered,Need more info an extra turbine capacity
CPV Vaca Station,Natural Gas Combined Cycle,Planned,CA,38.3989,-121.9239,"CPV Vacaville, LLC","CPV Vacaville, LLC",0,660,0,0,Not Considered,Need more info an extra turbine capacity
DAI Oildale (DEXZEL),Natural Gas Combined Cycle,Operating,CA,35.3444,-118.7289,DAI Oildale Inc.,DAI Oildale Inc.,36,NA,0,0,Not Considered,No extra turbine space
Desert Power LP,Natural Gas Combined Cycle,Under Construction,UT,40.666,-112.5273,Desert Power LP,Desert Power LP,0,125,0,0,Not Considered,Need more info an extra turbine capacity
Fort St Vrain,Natural Gas Combined Cycle,Operating,CO,40.2461,-104.8742,Public Service Company of Colorado,Public Service Company of Colorado,742.6,NA,95.9,80.5,Good,
Front Range Power,Natural Gas Combined Cycle,Operating,CO,38.6281,-104.7069,Multi-Owned,Colorado Springs Utilities,541,NA,73.4,61.6,Good,
Gateway Generating Station,Natural Gas Combined Cycle,Operating,CA,38.0051,-121.8049,Pacific Gas and Electric Company,Pacific Gas and Electric Company,619,NA,10,9.3,Good,
Gila River Project,Natural Gas Combined Cycle,Operating,AZ,32.9761,-112.694,Entegra Power Group LLC,Gila River Power LP,2476,NA,339.2,283.2,Excellent,
El Segundo,Natural Gas Combined Cycle,Under Construction,CA,33.9058,-118.4031,"NRG Energy, Inc.",West Coat Power LLC,0,670,0,0,Not Considered,Low Land
Encina,Natural Gas Combined Cycle,Planned,CA,33.1408,-117.3342,"NRG Energy, Inc.",NRG Cabrillo Power Operations Incorperated,0,558,0,0,Not Considered,Low Land
Grayson,Natural Gas Combined Cycle,Operating,CA,34.1556,-118.2782,Glendale City of,Glendale City of,130,NA,0,0,Not Considered,Plant Too Old
Griffith Generating Station,Natural Gas Combined Cycle,Operating,AZ,35.0517,-114.1334,"LS Power Associates, LP",Griffith Energy LLC,654.4,NA,85.6,71.4,Excellent,
El Dorado Energy,Natural Gas Combined Cycle,Operating,NV,35.7867,-114.9928,Sempra Generation,El Dorado Energy,598,NA,0,0,Not Considered,No extra turbine space
Etiwanda,Natural Gas Combined Cycle,Planned,CA,34.0891,-117.528,"RRI Energy, Inc.",(blank),0,656,0,0,Not Considered,Need more info an extra turbine capacity
Foster Wheeler Martinez,Natural Gas Combined Cycle,Operating,CA,38.0244,-122.0589,Multi-Owned,Foster Wheeler Power Sys Inc,113.5,NA,0,0,Not Considered,No extra turbine space
"Fresno Cogeneration Partners, L.P.",Natural Gas Combined Cycle,Operating,CA,36.6183,-120.1,Fresno Cogeneration Partners,"Wellhead Services, Inc.",60.3,NA,0,0,Not Considered,No extra turbine space
Gilroy Power Plant,Natural Gas Combined Cycle,Operating,CA,37.0001,-121.5367,Calpine Corporation,Calpine Corporation,130,NA,0,0,Not Considered,Low Operation
Goal Line,Natural Gas Combined Cycle,Operating,CA,33.1185,-117.0995,Goal Line LP,GE Conceptual Services,51.4,NA,0,0,Not Considered,No extra turbine space
Harquahala,Natural Gas Combined Cycle,Operating,AZ,33.4759,-113.1133,MACH Gen LLC,New Harquahala Generating Co LLC,1325.1,NA,57.1,52.2,Excellent,
Haynes,Natural Gas Combined Cycle,Operating,CA,33.7639,-118.0942,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,604.3,500,40.3,40.8,Fair,
Haynes,Natural Gas Combined Cycle,Planned,CA,33.7639,-118.0942,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,604.3,500,19.7,18,Fair,
High Desert Power Project,Natural Gas Combined Cycle,Operating,CA,34.5953,-117.3647,"Tenaska Capital Management, LLC","Tenaska Frontier Partners, LTD",852,NA,72,63.8,Excellent,
Hobbs Generating Station,Natural Gas Combined Cycle,Operating,NM,32.7798,-103.2156,"ArcLight Energy Partners Fund III, LP",Colorado Enegy Management LLC,700,NA,88.8,74.3,Good,
J Robert Massengale,Natural Gas Combined Cycle,Operating,TX,33.6039,-101.8408,Lubbock City of,Lubbock City of,84,NA,10,8,Good,
Hanford Energy Park,Natural Gas Combined Cycle,Planned,CA,36.2689,-119.6469,Multi-Owned,GWF Energy LLC,0,147,0,0,Not Considered,No extra turbine space
Harbor Cogen,Natural Gas Combined Cycle,Operating,CA,33.7778,-118.236,Multi-Owned,(blank),107.4,NA,0,0,Not Considered,Low Operation
Harper Lake Energy Park,Natural Gas Combined Cycle,Planned,CA,34.929853,-117.0205,Harper Lake LLC,(blank),0,400,0,0,Not Considered,"Already part of a solar thermal park, no detials on CC"
Henrietta,Natural Gas Combined Cycle,Planned,CA,36.2397,-119.9044,Multi-Owned,GWF Energy LLC,0,123,0,0,Not Considered,No extra turbine space
Inland Empire Energy Center,Natural Gas Combined Cycle,Operating,CA,33.74583,-117.1742,GE Energy,GE Energy,386.8,401,0,0,Not Considered,Need more info an extra turbine capacity
Irvington,Natural Gas Combined Cycle,Operating,AZ,32.1619,-110.9289,Tucson Electric Power Company,Tuscon Electric Power Company,331.2,NA,0,0,Not Considered,Plant Too Old
Lake Side Power,Natural Gas Combined Cycle,Operating,UT,40.3311,-111.7547,PacifiCorp,PacifiCorp,591.3,NA,41.9,37.6,Good,
Lodi,Natural Gas Combined Cycle,Planned,CA,38.1562,-121.2975,Northern California Power Agency,Northern California Power Agency,0,307.7,6.5,6.1,Good,
Los Esteros Critical Energy Facility,Natural Gas Combined Cycle,Planned,CA,37.425,-121.9319,Calpine Corporation,(blank),0,300,29,25.2,Good,
Luna Energy Facility,Natural Gas Combined Cycle,Operating,NM,32.2983,-107.78,Multi-Owned,Public Service Company of New Mexico,650,NA,83.9,70.3,Excellent,
King City Power Plant,Natural Gas Combined Cycle,Operating,CA,36.225,-121.1278,Calpine King City Cogen LLC,Calpine King City Cogen LLC,133.2,NA,0,0,Not Considered,No extra turbine space
Kingsburg Cogeneration,Natural Gas Combined Cycle,Operating,CA,36.5397,-119.5794,General Electric Structured Finance,"PurEnergy Operating Services, LLC",36.2,NA,0,1.4,Not Considered,Unit too small for tower
Kyrene,Natural Gas Combined Cycle,Operating,AZ,33.3544,-111.9364,Salt River Project,Salt River Project,400,NA,0,0,Not Considered,Low Land
Lake Side Power,Natural Gas Combined Cycle,Planned,UT,40.3311,-111.7547,PacifiCorp,PacifiCorp,0,607,0,0,Not Considered,Need more info an extra turbine capacity
Las Vegas Cogen LP,Natural Gas Combined Cycle,Operating,NV,36.2317,-115.1235,Multi-Owned,(blank),61.3,NA,0,0,Not Considered,No extra turbine space
Las Vegas Cogeneration LP II,Natural Gas Combined Cycle,Operating,NV,36.2322,-115.1239,Multi-Owned,(blank),297.6,NA,0,0,Not Considered,No extra turbine space
Linde Wilmington,Natural Gas Combined Cycle,Operating,CA,33.78,-118.2619,"Praxair, Inc.","Praxair, Inc.",31,NA,0,0,Not Considered,No extra turbine space
Los Angeles County Civic Center,Natural Gas Combined Cycle,Operating,CA,34.3209,-118.2212,Los Angeles County,Los Angeles County,34.5,NA,0,0,Not Considered,No extra turbine space
Los Medanos Energy Center,Natural Gas Combined Cycle,Operating,CA,38.03,-121.8708,"Calpine Generating Company, LLC",Los Medanos Energy Center LLC,678.3,NA,0,0,Not Considered,Low Land
Mesquite Power,Natural Gas Combined Cycle,Operating,AZ,33.344,-112.8535,Sempra Generation,Mesquite Power LLC,1383.2,NA,180.8,151,Excellent,
Metcalf Energy Center,Natural Gas Combined Cycle,Operating,CA,37.2169,-121.7439,Calpine Corporation,Calpine Corporation,635,NA,34.2,31.1,Good,
Nebo Power Station,Natural Gas Combined Cycle,Operating,UT,40.0614,-111.7294,Utah Associated Mun Power Sys,Colorado Energy Management LLC,140,NA,15.5,13,Good,
Newman,Natural Gas Combined Cycle,Planned,TX,31.9858,-106.4322,El Paso Electric Company,El Paso Electric Company,463,148,41.4,34.7,Good,
Magnolia Power Project,Natural Gas Combined Cycle,Operating,CA,34.1788,-118.3153,Southern California Public Power Authority,Burbank City of,387.6,NA,0,0,Not Considered,Low Land
Malburg Generating Station,Natural Gas Combined Cycle,Operating,CA,33.9983,-118.2219,Multi-Owned,Colorado Energy Management LLC,158.8,NA,0,0,Not Considered,Low Land
Mojave Cogeneration Company,Natural Gas Combined Cycle,Operating,CA,35.0433,-117.645,JPMorgan  Chase & Co.,Delta Power Services,57.1,NA,0,0,Not Considered,No extra turbine space
Morro Bay,Natural Gas Combined Cycle,Planned,CA,35.3747,-120.8578,Dynegy Inc.,(blank),0,1200,0,0,Not Considered,Need more info an extra turbine capacity
Moss Landing,Natural Gas Combined Cycle,Operating,CA,36.8042,-121.7775,Dynegy Inc.,"Wood Group Power Operations, Inc.",1398,NA,0,0,Not Considered,No extra turbine space
Mustang Station,Natural Gas Combined Cycle,Operating,TX,32.9728,-102.7417,Multi-Owned,Denver City Energy Associates,521,NA,0,0,Not Considered,No extra turbine space
Naval Station Energy Facility,Natural Gas Combined Cycle,Operating,CA,33.0362,-116.7356,Capital Power Income L . P .,Primary Energy Operations LLC,55.1,NA,0,0,Not Considered,Low Land
Nevada Cogen Associates No. 1,Natural Gas Combined Cycle,Operating,NV,36.3429,-114.9203,Multi-Owned,"Northern Star Generation, LLC",96.3,NA,0,0,Not Considered,No extra turbine space
Newman,Natural Gas Combined Cycle,Operating,TX,31.9858,-106.4322,El Paso Electric Company,El Paso Electric Company,463,148,0,0,Not Considered,Plant Too Old
North Island Energy Facility,Natural Gas Combined Cycle,Operating,CA,32.705,-117.189,Capital Power Income L . P .,Capital Energy Operations LLC,83.5,NA,0,0,Not Considered,No extra turbine space
Odessa-Ector Power Project,Natural Gas Combined Cycle,Operating,TX,31.8378,-102.3278,"PSEG Texas, LP","Odessa-Ector Power Partners, L.P.",1135.2,NA,102.5,90.4,Good,
Palmdale Hybrid Power Project | solar trough hybrid,Natural Gas Combined Cycle,Planned,CA,34.6416,-118.1263,Palmdale City of,Palmdale City of,0,555,0,63,Good,
Pastoria Energy Center,Natural Gas Combined Cycle,Operating,CA,34.9556,-118.844,"Calpine Generating Company, LLC",Pastoria Power Project LLC,779,NA,22.2,20.7,Good,
Oakley Generating Station,Natural Gas Combined Cycle,Planned,CA,38.01,-121.7486,"Radback Energy, Inc.","Contra Costa Generating Station, LLC",0,644,0,4.7,Not Considered,Not enough land for tower
Ocotillo,Natural Gas Combined Cycle,Operating,AZ,33.4225,-111.9122,Arizona Public Service Company,Arizona Public Service Company,227.2,NA,0,0,Not Considered,Plant Too Old
Olive View Medical Center,Natural Gas Combined Cycle,Operating,CA,34.3209,-118.2212,Los Angeles County,Los Angeles County,5.6,NA,0,0,Not Considered,No extra turbine space
Otay Mesa Generating Project,Natural Gas Combined Cycle,Operating,CA,33.0362,-116.7356,"Otay Mesa Energy Center, LLC","Otay Mesa Energy Center, LLC",688.5,NA,0,0,Not Considered,Low Operation
Palomar Energy,Natural Gas Combined Cycle,Operating,CA,33.1192,-117.118,San Diego Gas & Electric Co.,San Diego Gas & Electric Co.,559,NA,0,0,Not Considered,Low Land
Pinal Central CC,Natural Gas Combined Cycle,Planned,AZ,32.8765,-111.5462,Salt River Project,Salt River Project,0,1150,0,0,Not Considered,Need more info an extra turbine capacity
Pitchess Cogeneration Station,Natural Gas Combined Cycle,Operating,CA,34.4458,-118.5871,Los Angeles County,Pitchess Cogen Plant,28.3,NA,0,0,Not Considered,No extra turbine space
Pittsburg,Natural Gas Combined Cycle,Planned,CA,38.0392,-121.894,"Mirant Willow Pass, LLC","Mirant Willow Pass, LLC",0,550,0,0,Not Considered,Low Land
Quail Run,Natural Gas Combined Cycle,Operating w/ Planned Expansion,TX,31.8414,-102.315,"Constellation Energy Group, Inc.",North American Energy Services,573,294,109,62,Good,
Redding,Natural Gas Combined Cycle,Operating,CA,40.5083,-122.4253,Redding City of,Redding City of,70,42,6.9,5.8,Fair,
Redhawk,Natural Gas Combined Cycle,Operating,AZ,33.33,-112.84,Arizona Public Service Company,Arizona Public Service Company,1136,NA,43.8,20.1,Excellent,
Rocky Mountain Energy Center,Natural Gas Combined Cycle,Operating,CO,40.0911,-104.5947,Calpine Corporation,"Rocky Mountain Energy Center, LLC",704.9,NA,88.5,74.2,Good,
Roseville Energy Park,Natural Gas Combined Cycle,Operating,CA,38.7926,-121.3823,Roseville City of,Roseville City of,164,NA,20.5,17.1,Good,
Russell City Energy Center,Natural Gas Combined Cycle,Planned,CA,37.6276,-122.1046,Multi-Owned,Hayward Energy Center,0,600,16.1,18.5,Fair,
San Bernardino,Natural Gas Combined Cycle,Operating,CA,34.0027,-117.2405,"Mountainview Power Company, LLC","Mountainview Power Company, LLC",1108.1,NA,86.8,76.6,Good,
Proctor & Gamble Cogeneration,Natural Gas Combined Cycle,Operating,CA,38.525943,-121.389313,Sacramento Municipal Utility District,Sacramento Municipal Utility District,149.4,NA,0,0,Not Considered,No extra turbine space
Rifle Generating Station,Natural Gas Combined Cycle,Operating,CO,39.5173,-107.7299,Tri-State Generation & Transmission Association,"Tri-State Generation & Transmission Association, Inc.",108.3,NA,0,0,Not Considered,Low Operation
Saguaro,Natural Gas Combined Cycle,Operating,AZ,32.5517,-111.3,Arizona Public Service Company,(blank),250,NA,0,0,Not Considered,Plant Too Old
Saguaro Power Company,Natural Gas Combined Cycle,Operating,NV,36.0417,-115.0117,Multi-Owned,Saguaro Power Co,127.2,NA,0,0,Not Considered,No extra turbine space
San Diego State University,Natural Gas Combined Cycle,Operating,CA,33.0362,-116.7356,San Diego State University,San Diego State University,14.3,NA,0,0,Not Considered,No extra turbine space
Sanger,Natural Gas Combined Cycle,Operating,CA,36.8137,-119.3747,Algonquin Power Management Inc.,Algonquin Power Systems,56,NA,0,0,Not Considered,No extra turbine space
Santan,Natural Gas Combined Cycle,Operating,AZ,33.3333,-111.751,Salt River Project,Salt River Project,1326,NA,112.7,94.2,Excellent,
Silverhawk Power Project,Natural Gas Combined Cycle,Operating,NV,36.4078,-114.9603,Multi-Owned,Nevada Power Company,664.7,NA,70.3,60.9,Excellent,
South Point Energy Center,Natural Gas Combined Cycle,Operating,AZ,34.8764,-114.5297,Calpine Corporation,Calpine Corporation,708,NA,12.8,11.9,Excellent,
Sunrise Power Project,Natural Gas Combined Cycle,Operating,CA,35.2097,-119.585,Multi-Owned,"Edison Mission Operation & Maintenance, Inc.",605.4,NA,81.4,68,Good,
Sutter Power,Natural Gas Combined Cycle,Operating,CA,39.0531,-121.6939,"Calpine Construction Finance Company, L.P.",Calpine Coporation,636,NA,5.7,5.3,Good,
Tesla Generating Station,Natural Gas Combined Cycle,Planned,CA,37.6803,-121.7717,Pacific Gas and Electric Company,Pacific Gas and Electric Company,0,624,92,76.7,Good,
Santa Ynez Facility,Natural Gas Combined Cycle,Operating,CA,34.6688,-120.0125,Exxon Mobil Corporation,Exxon Mobil Corporation,49.3,NA,0,0,Not Considered,No extra turbine space
Scattergood,Natural Gas Combined Cycle,Planned,CA,33.9175,-118.4258,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,0,900,0,0,Not Considered,Low land
Shell Martinez Refining,Natural Gas Combined Cycle,Operating,CA,38.0169,-122.1117,Martinez Refining Co,Martinez Refining Co,100,NA,0,0,Not Considered,No extra turbine space
Sigurd Coal Plant,Natural Gas Combined Cycle,Planned,UT,38.8407,-111.967077,Sevier Power Company LLC,(blank),0,540,0,0,Not Considered,Other
Southeast Regional Energy Center,Natural Gas Combined Cycle,Planned,CA,34.0099,-118.2355,Vernon City of,(blank),0,330,0,0,Not Considered,Low Land
Thermo Fort Lupton CC Plant,Natural Gas Combined Cycle,Operating,CO,40.0979,-104.7745,Starwood Energy Infrastructure Fund LP,"Thermo Cogeneration Partnership, LP",386.5,110,0,0,Not Considered,No extra turbine space
Tracy (NV),Natural Gas Combined Cycle,Operating,NV,39.5625,-119.525,Sierra Pacific Power Company,Sierra Pacific Power Company,668.9,NA,29.4,25,Good,
Tracy Peaker Project,Natural Gas Combined Cycle,Planned,CA,37.7107,-121.4906,Multi-Owned,(blank),0,313.8,41.2,34.3,Good,
Valley (CA),Natural Gas Combined Cycle,Operating,CA,34.2481,-118.3903,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,741,NA,18,19.7,Fair,
Victorville 2 Hybrid,Natural Gas Combined Cycle,Planned,CA,34.639705,-117.364883,"Victorville, City of",(blank),0,572,74.6,62.4,Excellent,
Walnut Energy Center,Natural Gas Combined Cycle,Operating,CA,37.4903,-120.9071,Turlock Irrigation District,Turlock Irrigation District,300.6,NA,15.8,14.4,Good,
Walter M. Higgins Generating Station,Natural Gas Combined Cycle,Operating,NV,35.6139,-115.3561,Nevada Power Company,Nevada Power Company,688.4,NA,86.4,72,Excellent,
Toquop Energy Facility,Natural Gas Combined Cycle,Planned,NV,36.8056,-114.0666,Multi-Owned,(blank),0,700,0,0,Not Considered,Other
UCI Facilities Management Central Plant,Natural Gas Combined Cycle,Operating,CA,33.665648,-117.854075,"University of California, Irvine",(blank),19,NA,0,0,Not Considered,No extra turbine space
UCLA South Campus,Natural Gas Combined Cycle,Operating,CA,34.0692,-118.4439,University of California,"Parsons Main, Inc.",43,NA,0,0,Not Considered,No extra turbine space
United Cogen Incorporated,Natural Gas Combined Cycle,Operating,CA,37.4211,-122.3173,United Cogen Inc.,United Cogen Inc.,31,NA,0,0,Not Considered,Low Land
"University of California, San Diego (UCSD)",Natural Gas Combined Cycle,Operating,CA,32.8339,-117.2575,"University of California, San Diego","University of California, San Diego",30,NA,0,0,Not Considered,Low Land
University of Colorado,Natural Gas Combined Cycle,Operating,CO,40.0894,-105.3556,University of Colorado,University of Colorado,33,NA,0,0,Not Considered,Low Operation
Carty Generating Station,Natural Gas Combined Cycle,Planned,OR,45.839855,-119.700583,Portland General Electric Co,Portland General Electric Co,500,500,69,41,Good,
Von Raesfeld,Natural Gas Combined Cycle,Operating,CA,37.3767,-121.9508,Silicon Valley Power,Silicon Valley Power,154,NA,0,0,Not Considered,Low Land
Watson Cogeneration,Natural Gas Combined Cycle,Operating,CA,33.8083,-118.235,Multi-Owned,ARCO Products Co-Watson,405,85,0,0,Not Considered,Low Land
Watsonville Cogeneration Project,Natural Gas Combined Cycle,Operating,CA,36.9112,-121.7685,Calpine Corporation,Calpine Corporation,34.8,NA,0,0,Not Considered,No extra turbine space
West Phoenix,Natural Gas Combined Cycle,Operating,AZ,33.4417,-112.1583,Arizona Public Service Company,Arizona Public Service Company,1100.6,NA,17,15.7,Excellent,
Woodland,Natural Gas Combined Cycle,Operating,CA,37.6528,-121.0172,Modesto Irrigation District,Modesto Irrigation District,98.2,NA,7.3,6.6,Good,
Cimarron River,Natural Gas Combined Cycle,Operating,KS,37.1611,-100.7619,Mid Kansas Electric Co LLC,Sunflower Electric Power Corp,61.3,NA,0,0,Not Considered,Plant Too Old
Fort Dodge (KS),Natural Gas Combined Cycle,Operating,KS,37.7328,-99.9497,Mid Kansas Electric Co LLC,Sunflower Electric Power Corp,146.6,NA,0,0,Not Considered,Plant Too Old
Garden City,Natural Gas Combined Cycle,Operating,KS,37.9703,-100.8956,Sunflower Electric Power Corp,Sunflower Electric Power Corp,97.5,NA,0,0,Not Considered,Plant Too Old
Great Bend 3,Natural Gas Combined Cycle,Operating,KS,38.41,-98.8689,Mid Kansas Electric Co LLC,Sunflower Electric Power Corp,98.7,NA,0,0,Not Considered,Plant Too Old
Klamath Cogeneration Project,Natural Gas Combined Cycle,Operating,OR,42.1739,-121.8106,Klamath Energy LLC,Klamath Energy LLC,470,NA,72,60,Good,
Langley Gulch Power Plant,Natural Gas Combined Cycle,Under Construction,ID,43.969886,-116.81904,Idaho Power Co,Idaho Power Co,300,300,41,35,Good,
Rathdrum Power LLC,Natural Gas Combined Cycle,Operating,ID,47.7861,-116.9214,Rathdrum Power LLC,Rathdrum Operating Sev Co Inc,248,NA,29,25,Fair,
Coyote Springs II,Natural Gas Combined Cycle,Operating,OR,45.8478,-119.6738,Avista Corp,Portland General Electric Co,242.7,NA,20,18,Fair,
Wheelabrator Norwalk Energy,Natural Gas Combined Cycle,Operating,CA,34.3209,-118.2212,"Wheelabrator Technologies, Inc.","Wheelabrator Technologies, Inc.",30.7,NA,0,0,Not Considered,No extra turbine space
Yucca,Natural Gas Combined Cycle,Operating,AZ,32.7214,-114.7097,Imperial Irrigation District,Arizona Public Service Company,86.7,NA,0,0,Not Considered,Plant Too Old
Yuma Cogeneration Associates,Natural Gas Combined Cycle,Operating,AZ,32.7298,-114.6641,Multi-Owned,Falcon Power Operating Co.,62.6,NA,0,0,Not Considered,No extra turbine space
