period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2022,RERCB,Renewable energy sources consumed by the residential sector,AZ,Arizona,18328,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,AR,Arkansas,6063,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,AL,Alabama,1808,Billion Btu
2022,RETCB,Renewable energy total consumption,MN,Minnesota,230364,Billion Btu
2022,RETCB,Renewable energy total consumption,WY,Wyoming,45394,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,WA,Washington,24718,Billion Btu
2022,RETCB,Renewable energy total consumption,PA,Pennsylvania,184808,Billion Btu
2022,RETCB,Renewable energy total consumption,OR,Oregon,247484,Billion Btu
2022,RETCB,Renewable energy total consumption,OK,Oklahoma,188573,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NM,New Mexico,12136,Billion Btu
2022,RETCB,Renewable energy total consumption,MI,Michigan,200309,Billion Btu
2022,RETCB,Renewable energy total consumption,ME,Maine,101763,Billion Btu
2022,RETCB,Renewable energy total consumption,MD,Maryland,48003,Billion Btu
2022,RETCB,Renewable energy total consumption,HI,Hawaii,20641,Billion Btu
2022,RETCB,Renewable energy total consumption,GA,Georgia,286775,Billion Btu
2022,RETCB,Renewable energy total consumption,FL,Florida,300693,Billion Btu
2022,RETCB,Renewable energy total consumption,DE,Delaware,7202,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,VT,Vermont,13179,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,VA,Virginia,12452,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,UT,Utah,4958,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NJ,New Jersey,9861,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NH,New Hampshire,10386,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NE,Nebraska,2265,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,IA,Iowa,5848,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,HI,Hawaii,4880,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,GA,Georgia,3243,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,43402,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,AK,Alaska,6117,Billion Btu
2022,RETCB,Renewable energy total consumption,WV,West Virginia,30496,Billion Btu
2022,RETCB,Renewable energy total consumption,WI,Wisconsin,159660,Billion Btu
2022,RETCB,Renewable energy total consumption,WA,Washington,426074,Billion Btu
2022,RETCB,Renewable energy total consumption,VT,Vermont,30645,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,US,United States,661743,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MO,Missouri,16747,Billion Btu
2022,RETCB,Renewable energy total consumption,MA,Massachusetts,75053,Billion Btu
2022,RETCB,Renewable energy total consumption,LA,Louisiana,133469,Billion Btu
2022,RETCB,Renewable energy total consumption,KY,Kentucky,80976,Billion Btu
2022,RETCB,Renewable energy total consumption,KS,Kansas,152546,Billion Btu
2022,RETCB,Renewable energy total consumption,DC,District of Columbia,2596,Billion Btu
2022,RETCB,Renewable energy total consumption,CT,Connecticut,38999,Billion Btu
2022,RETCB,Renewable energy total consumption,CO,Colorado,121106,Billion Btu
2022,RETCB,Renewable energy total consumption,CA,California,881980,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,TX,Texas,13147,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,TN,Tennessee,6168,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,SD,South Dakota,2518,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MN,Minnesota,16939,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MI,Michigan,31958,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,ME,Maine,17503,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,DE,Delaware,1371,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,DC,District of Columbia,391,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,CT,Connecticut,7825,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,CO,Colorado,15697,Billion Btu
2022,RETCB,Renewable energy total consumption,OH,Ohio,144632,Billion Btu
2022,REPRB,Renewable energy production,DE,Delaware,2829,Billion Btu
2022,REPRB,Renewable energy production,DC,District of Columbia,1701,Billion Btu
2022,REPRB,Renewable energy production,CT,Connecticut,28147,Billion Btu
2022,REPRB,Renewable energy production,MO,Missouri,122845,Billion Btu
2022,REPRB,Renewable energy production,MN,Minnesota,307778,Billion Btu
2022,REPRB,Renewable energy production,MI,Michigan,190123,Billion Btu
2022,REPRB,Renewable energy production,ME,Maine,96000,Billion Btu
2022,REPRB,Renewable energy production,AL,Alabama,212636,Billion Btu
2022,REPRB,Renewable energy production,AK,Alaska,14235,Billion Btu
2022,REPRB,Renewable energy production,IA,Iowa,770984,Billion Btu
2022,REPRB,Renewable energy production,HI,Hawaii,16937,Billion Btu
2022,REPRB,Renewable energy production,GA,Georgia,273701,Billion Btu
2022,REPRB,Renewable energy production,KS,Kansas,201334,Billion Btu
2022,REPRB,Renewable energy production,IN,Indiana,251540,Billion Btu
2022,REPRB,Renewable energy production,IL,Illinois,333692,Billion Btu
2022,REPRB,Renewable energy production,ID,Idaho,84989,Billion Btu
2022,REPRB,Renewable energy production,ND,North Dakota,163116,Billion Btu
2022,REPRB,Renewable energy production,NC,North Carolina,181170,Billion Btu
2022,REPRB,Renewable energy production,MT,Montana,65653,Billion Btu
2022,REPRB,Renewable energy production,MS,Mississippi,61796,Billion Btu
2022,REPRB,Renewable energy production,MD,Maryland,27437,Billion Btu
2022,REPRB,Renewable energy production,MA,Massachusetts,52235,Billion Btu
2022,REPRB,Renewable energy production,LA,Louisiana,223605,Billion Btu
2022,REPRB,Renewable energy production,KY,Kentucky,68537,Billion Btu
2022,REPRB,Renewable energy production,CO,Colorado,113441,Billion Btu
2022,REPRB,Renewable energy production,FL,Florida,234438,Billion Btu
2022,REPRB,Renewable energy production,CA,California,543231,Billion Btu
2022,REPRB,Renewable energy production,AZ,Arizona,74234,Billion Btu
2022,REPRB,Renewable energy production,AR,Arkansas,89967,Billion Btu
2022,REPRB,Renewable energy production,WA,Washington,419010,Billion Btu
2022,REPRB,Renewable energy production,VT,Vermont,28150,Billion Btu
2022,REPRB,Renewable energy production,VA,Virginia,141225,Billion Btu
2022,REPRB,Renewable energy production,UT,Utah,26924,Billion Btu
2022,REPRB,Renewable energy production,US,United States,8307342,Billion Btu
2022,REPRB,Renewable energy production,TX,Texas,654921,Billion Btu
2022,REPRB,Renewable energy production,TN,Tennessee,100268,Billion Btu
2022,REPRB,Renewable energy production,SD,South Dakota,234233,Billion Btu
2022,REPRB,Renewable energy production,OK,Oklahoma,182276,Billion Btu
2022,REPRB,Renewable energy production,SC,South Carolina,128184,Billion Btu
2022,REPRB,Renewable energy production,OH,Ohio,154296,Billion Btu
2022,REPRB,Renewable energy production,NY,New York,220740,Billion Btu
2022,REPRB,Renewable energy production,NV,Nevada,61432,Billion Btu
2022,REPRB,Renewable energy production,RI,Rhode Island,7615,Billion Btu
2022,REPRB,Renewable energy production,PA,Pennsylvania,155006,Billion Btu
2022,REPRB,Renewable energy production,OR,Oregon,219920,Billion Btu
2022,REPRB,Renewable energy production,NM,New Mexico,78407,Billion Btu
2022,REPRB,Renewable energy production,NJ,New Jersey,33259,Billion Btu
2022,REPRB,Renewable energy production,NH,New Hampshire,34320,Billion Btu
2022,REPRB,Renewable energy production,NE,Nebraska,327330,Billion Btu
2022,REPRB,Renewable energy production,WY,Wyoming,60836,Billion Btu
2022,REPRB,Renewable energy production,WV,West Virginia,23431,Billion Btu
2022,REPRB,Renewable energy production,WI,Wisconsin,181284,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MS,Mississippi,1324,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MT,Montana,12209,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NC,North Carolina,9501,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,ND,North Dakota,1234,Billion Btu
2022,RETCB,Renewable energy total consumption,NM,New Mexico,82042,Billion Btu
2022,RETCB,Renewable energy total consumption,NV,Nevada,73314,Billion Btu
2022,RETCB,Renewable energy total consumption,NY,New York,270685,Billion Btu
2022,RETCB,Renewable energy total consumption,NJ,New Jersey,64998,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,SD,South Dakota,1710,Billion Btu
2021,REPRB,Renewable energy production,HI,Hawaii,16665,Billion Btu
2021,REPRB,Renewable energy production,AZ,Arizona,72153,Billion Btu
2021,REPRB,Renewable energy production,MA,Massachusetts,48807,Billion Btu
2021,REPRB,Renewable energy production,MS,Mississippi,61133,Billion Btu
2021,REPRB,Renewable energy production,KS,Kansas,175281,Billion Btu
2021,REPRB,Renewable energy production,OK,Oklahoma,159221,Billion Btu
2021,REPRB,Renewable energy production,IN,Indiana,237409,Billion Btu
2021,REPRB,Renewable energy production,DC,District of Columbia,1523,Billion Btu
2021,REPRB,Renewable energy production,PA,Pennsylvania,147335,Billion Btu
2021,REPRB,Renewable energy production,NY,New York,218204,Billion Btu
2021,REPRB,Renewable energy production,RI,Rhode Island,7012,Billion Btu
2021,REPRB,Renewable energy production,MD,Maryland,27292,Billion Btu
2021,REPRB,Renewable energy production,TX,Texas,557242,Billion Btu
2021,REPRB,Renewable energy production,NC,North Carolina,182433,Billion Btu
2021,REPRB,Renewable energy production,KY,Kentucky,61894,Billion Btu
2021,REPRB,Renewable energy production,UT,Utah,24687,Billion Btu
2021,REPRB,Renewable energy production,NH,New Hampshire,33153,Billion Btu
2021,REPRB,Renewable energy production,WV,West Virginia,21229,Billion Btu
2021,REPRB,Renewable energy production,NJ,New Jersey,31232,Billion Btu
2021,REPRB,Renewable energy production,IA,Iowa,748411,Billion Btu
2021,REPRB,Renewable energy production,NE,Nebraska,316439,Billion Btu
2021,REPRB,Renewable energy production,MT,Montana,57919,Billion Btu
2021,REPRB,Renewable energy production,US,United States,7807302,Billion Btu
2021,REPRB,Renewable energy production,MO,Missouri,113688,Billion Btu
2021,REPRB,Renewable energy production,OR,Oregon,211626,Billion Btu
2021,REPRB,Renewable energy production,MI,Michigan,177681,Billion Btu
2021,REPRB,Renewable energy production,CT,Connecticut,31660,Billion Btu
2021,REPRB,Renewable energy production,LA,Louisiana,175319,Billion Btu
2021,REPRB,Renewable energy production,ND,North Dakota,163208,Billion Btu
2021,REPRB,Renewable energy production,CO,Colorado,99821,Billion Btu
2021,REPRB,Renewable energy production,VT,Vermont,25541,Billion Btu
2021,REPRB,Renewable energy production,GA,Georgia,267476,Billion Btu
2021,REPRB,Renewable energy production,ID,Idaho,74283,Billion Btu
2021,REPRB,Renewable energy production,NV,Nevada,52692,Billion Btu
2021,REPRB,Renewable energy production,FL,Florida,227837,Billion Btu
2021,REPRB,Renewable energy production,AL,Alabama,215294,Billion Btu
2021,REPRB,Renewable energy production,AK,Alaska,12773,Billion Btu
2021,REPRB,Renewable energy production,WY,Wyoming,49148,Billion Btu
2021,REPRB,Renewable energy production,WA,Washington,396579,Billion Btu
2021,REPRB,Renewable energy production,TN,Tennessee,124427,Billion Btu
2021,REPRB,Renewable energy production,DE,Delaware,2488,Billion Btu
2021,REPRB,Renewable energy production,NM,New Mexico,55085,Billion Btu
2021,REPRB,Renewable energy production,AR,Arkansas,86121,Billion Btu
2021,REPRB,Renewable energy production,IL,Illinois,304992,Billion Btu
2021,REPRB,Renewable energy production,OH,Ohio,149818,Billion Btu
2021,RETCB,Renewable energy total consumption,TX,Texas,652838,Billion Btu
2021,RETCB,Renewable energy total consumption,WI,Wisconsin,150391,Billion Btu
2021,RETCB,Renewable energy total consumption,CO,Colorado,107850,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,UT,Utah,4069,Billion Btu
2021,RETCB,Renewable energy total consumption,LA,Louisiana,136496,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,TN,Tennessee,4851,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NH,New Hampshire,8556,Billion Btu
2021,RETCB,Renewable energy total consumption,MN,Minnesota,213105,Billion Btu
2021,RETCB,Renewable energy total consumption,MS,Mississippi,66311,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,VT,Vermont,10149,Billion Btu
2021,RETCB,Renewable energy total consumption,AR,Arkansas,87788,Billion Btu
2021,RETCB,Renewable energy total consumption,NM,New Mexico,65917,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MI,Michigan,26540,Billion Btu
2021,RETCB,Renewable energy total consumption,VA,Virginia,160119,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,OK,Oklahoma,2935,Billion Btu
2021,RETCB,Renewable energy total consumption,PA,Pennsylvania,176687,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MO,Missouri,12713,Billion Btu
2021,RETCB,Renewable energy total consumption,US,United States,7644235,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NV,Nevada,6122,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,HI,Hawaii,4694,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,LA,Louisiana,2257,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,WA,Washington,20492,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,WI,Wisconsin,19586,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,CT,Connecticut,7507,Billion Btu
2021,RETCB,Renewable energy total consumption,NH,New Hampshire,38801,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NE,Nebraska,2315,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,OR,Oregon,19592,Billion Btu
2021,RETCB,Renewable energy total consumption,NJ,New Jersey,63114,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NC,North Carolina,8385,Billion Btu
2021,RETCB,Renewable energy total consumption,KY,Kentucky,73791,Billion Btu
2021,RETCB,Renewable energy total consumption,UT,Utah,35440,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,TX,Texas,10426,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,DC,District of Columbia,319,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,ND,North Dakota,944,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NM,New Mexico,9472,Billion Btu
2021,RETCB,Renewable energy total consumption,ME,Maine,100381,Billion Btu
2021,RETCB,Renewable energy total consumption,NY,New York,268061,Billion Btu
2021,RETCB,Renewable energy total consumption,FL,Florida,293545,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,AZ,Arizona,14771,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,SC,South Carolina,2686,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MT,Montana,9868,Billion Btu
2021,RETCB,Renewable energy total consumption,AK,Alaska,13638,Billion Btu
2021,RETCB,Renewable energy total consumption,MI,Michigan,189100,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MN,Minnesota,12669,Billion Btu
2021,RETCB,Renewable energy total consumption,NE,Nebraska,158263,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,RI,Rhode Island,1374,Billion Btu
2021,RETCB,Renewable energy total consumption,KS,Kansas,135801,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,DE,Delaware,1165,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,CA,California,79125,Billion Btu
2021,RETCB,Renewable energy total consumption,DC,District of Columbia,2463,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,29379,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,CO,Colorado,11396,Billion Btu
2021,RETCB,Renewable energy total consumption,MT,Montana,62550,Billion Btu
2021,RETCB,Renewable energy total consumption,WA,Washington,405037,Billion Btu
2021,RETCB,Renewable energy total consumption,DE,Delaware,6943,Billion Btu
2021,RETCB,Renewable energy total consumption,NC,North Carolina,194604,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,PA,Pennsylvania,25904,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,OH,Ohio,18444,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,US,United States,552554,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,WY,Wyoming,3075,Billion Btu
2021,RETCB,Renewable energy total consumption,AL,Alabama,237594,Billion Btu
2021,RETCB,Renewable energy total consumption,SD,South Dakota,127298,Billion Btu
2021,RETCB,Renewable energy total consumption,IL,Illinois,221913,Billion Btu
2021,RETCB,Renewable energy total consumption,ND,North Dakota,93479,Billion Btu
2021,RETCB,Renewable energy total consumption,AZ,Arizona,100293,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,AR,Arkansas,5010,Billion Btu
2021,RETCB,Renewable energy total consumption,ID,Idaho,80779,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,KS,Kansas,2607,Billion Btu
2021,RETCB,Renewable energy total consumption,MO,Missouri,93976,Billion Btu
2021,RETCB,Renewable energy total consumption,HI,Hawaii,20352,Billion Btu
2021,RETCB,Renewable energy total consumption,IN,Indiana,160847,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,IA,Iowa,4450,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,AK,Alaska,4901,Billion Btu
2021,RETCB,Renewable energy total consumption,OR,Oregon,232754,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,NJ,New Jersey,8276,Billion Btu
2021,RETCB,Renewable energy total consumption,SC,South Carolina,141820,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,41024,Billion Btu
2021,RETCB,Renewable energy total consumption,WY,Wyoming,39857,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MA,Massachusetts,9958,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,IN,Indiana,13810,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MS,Mississippi,1021,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,KY,Kentucky,7693,Billion Btu
2021,RETCB,Renewable energy total consumption,WV,West Virginia,28620,Billion Btu
2021,RETCB,Renewable energy total consumption,GA,Georgia,283564,Billion Btu
2021,REPRB,Renewable energy production,VA,Virginia,133739,Billion Btu
2021,RETCB,Renewable energy total consumption,CA,California,809480,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,VA,Virginia,10409,Billion Btu
2021,REPRB,Renewable energy production,MN,Minnesota,288035,Billion Btu
2021,RETCB,Renewable energy total consumption,MD,Maryland,49587,Billion Btu
2021,REPRB,Renewable energy production,WI,Wisconsin,172343,Billion Btu
2021,RETCB,Renewable energy total consumption,OH,Ohio,138807,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,GA,Georgia,2966,Billion Btu
2021,RETCB,Renewable energy total consumption,RI,Rhode Island,9682,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,WV,West Virginia,7040,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,AL,Alabama,1468,Billion Btu
2021,RETCB,Renewable energy total consumption,OK,Oklahoma,173942,Billion Btu
2021,RETCB,Renewable energy total consumption,TN,Tennessee,135983,Billion Btu
2021,REPRB,Renewable energy production,SC,South Carolina,125590,Billion Btu
2021,REPRB,Renewable energy production,ME,Maine,94212,Billion Btu
2021,REPRB,Renewable energy production,SD,South Dakota,229971,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,ME,Maine,13056,Billion Btu
2021,RETCB,Renewable energy total consumption,IA,Iowa,388813,Billion Btu
2021,RETCB,Renewable energy total consumption,VT,Vermont,28064,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,IL,Illinois,8314,Billion Btu
2021,RETCB,Renewable energy total consumption,CT,Connecticut,41615,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,MD,Maryland,6298,Billion Btu
2021,RETCB,Renewable energy total consumption,MA,Massachusetts,71756,Billion Btu
2021,RERCB,Renewable energy sources consumed by the residential sector,ID,Idaho,10765,Billion Btu
2021,REPRB,Renewable energy production,CA,California,528926,Billion Btu
2021,RETCB,Renewable energy total consumption,NV,Nevada,64218,Billion Btu
2020,RERCB,Renewable energy sources consumed by the residential sector,ID,Idaho,9978,Billion Btu
2020,RETCB,Renewable energy total consumption,VT,Vermont,27366,Billion Btu
2020,RETCB,Renewable energy total consumption,HI,Hawaii,18634,Billion Btu
2020,RETCB,Renewable energy total consumption,GA,Georgia,280803,Billion Btu
2020,RETCB,Renewable energy total consumption,ID,Idaho,85442,Billion Btu
2020,REPRB,Renewable energy production,ID,Idaho,79085,Billion Btu
2020,REPRB,Renewable energy production,OK,Oklahoma,149559,Billion Btu
2020,REPRB,Renewable energy production,UT,Utah,22694,Billion Btu
2020,RETCB,Renewable energy total consumption,OH,Ohio,131072,Billion Btu
2020,REPRB,Renewable energy production,CA,California,510610,Billion Btu
2020,REPRB,Renewable energy production,AL,Alabama,214546,Billion Btu
2020,REPRB,Renewable energy production,MI,Michigan,171519,Billion Btu
2020,RETCB,Renewable energy total consumption,IN,Indiana,142065,Billion Btu
2020,REPRB,Renewable energy production,CT,Connecticut,29356,Billion Btu
2020,RETCB,Renewable energy total consumption,AZ,Arizona,91997,Billion Btu
2020,RETCB,Renewable energy total consumption,WV,West Virginia,27526,Billion Btu
2020,RETCB,Renewable energy total consumption,VA,Virginia,148773,Billion Btu
2020,REPRB,Renewable energy production,NE,Nebraska,285098,Billion Btu
2020,RETCB,Renewable energy total consumption,TX,Texas,593952,Billion Btu
2020,RETCB,Renewable energy total consumption,DC,District of Columbia,2320,Billion Btu
2020,RETCB,Renewable energy total consumption,RI,Rhode Island,9835,Billion Btu
2020,REPRB,Renewable energy production,VA,Virginia,125510,Billion Btu
2020,REPRB,Renewable energy production,ME,Maine,98806,Billion Btu
2020,REPRB,Renewable energy production,US,United States,7465203,Billion Btu
2020,REPRB,Renewable energy production,MO,Missouri,106053,Billion Btu
2020,RETCB,Renewable energy total consumption,MD,Maryland,45798,Billion Btu
2020,REPRB,Renewable energy production,MD,Maryland,26046,Billion Btu
2020,RETCB,Renewable energy total consumption,IA,Iowa,365607,Billion Btu
2020,RERCB,Renewable energy sources consumed by the residential sector,SC,South Carolina,2652,Billion Btu
2020,RETCB,Renewable energy total consumption,AL,Alabama,234324,Billion Btu
2020,RETCB,Renewable energy total consumption,UT,Utah,33858,Billion Btu
2020,REPRB,Renewable energy production,NH,New Hampshire,33157,Billion Btu
2020,REPRB,Renewable energy production,NY,New York,220498,Billion Btu
2020,RETCB,Renewable energy total consumption,NJ,New Jersey,59659,Billion Btu
2020,REPRB,Renewable energy production,MS,Mississippi,61708,Billion Btu
2020,REPRB,Renewable energy production,LA,Louisiana,165447,Billion Btu
2020,REPRB,Renewable energy production,AK,Alaska,13148,Billion Btu
2020,RERCB,Renewable energy sources consumed by the residential sector,IA,Iowa,4297,Billion Btu
2020,RETCB,Renewable energy total consumption,KY,Kentucky,71810,Billion Btu
2020,RERCB,Renewable energy sources consumed by the residential sector,PA,Pennsylvania,25432,Billion Btu
2020,RERCB,Renewable energy sources consumed by the residential sector,NE,Nebraska,2286,Billion Btu
2020,REPRB,Renewable energy production,VT,Vermont,24997,Billion Btu
2020,RETCB,Renewable energy total consumption,MO,Missouri,83687,Billion Btu
2020,RETCB,Renewable energy total consumption,OR,Oregon,242400,Billion Btu
2020,RETCB,Renewable energy total consumption,MI,Michigan,181774,Billion Btu
2020,RETCB,Renewable energy total consumption,WI,Wisconsin,152214,Billion Btu
2020,RETCB,Renewable energy total consumption,CT,Connecticut,38755,Billion Btu
2020,REPRB,Renewable energy production,TX,Texas,503024,Billion Btu
2020,REPRB,Renewable energy production,SD,South Dakota,200633,Billion Btu
2020,RETCB,Renewable energy total consumption,MS,Mississippi,66117,Billion Btu
